Ensembl_Gene_ID;Moyenne_CPM_WT;Moyenne_CPM_WT_treated;Moyenne_CPM_Disease;Moyenne_CPM_Rescue;Pvalue_Patho;Pvalue_Rescue;Ref_Utilisee;Log2FC_Patho;Log2FC_Rescue;Significatif_Patho;Significatif_Rescue
ENSMUSG00000067577;0.0823336921297251;0.1304472675433002;0.4125681573465328;0.1391015206441806;0.0359991949730247;0.0682743960983797;WT;1.4911626845586037;-1.1001205504257494;OUI;NON
ENSMUSG00000067847;16.66569239536708;16.4446951545668;37.85274270338492;31.16036037147156;0.0004619350011858;0.0986443469529633;WT;1.1786920823251892;-0.2798697376904342;OUI;NON
ENSMUSG00000068220;121.31885747950578;190.9526511590418;280.0427342043119;207.11844441014264;0.024772915613737;0.1710694527072988;WT;1.2061695722713803;-0.4350096529398574;OUI;NON
ENSMUSG00000068335;1.4412009412912652;7.739719249881487;3.4535596504733643;5.527732162899829;0.0231182702992194;0.3108065056313436;WT;1.205209944513487;0.6632887521824896;OUI;NON
ENSMUSG00000068587;0.1395480471227532;0.0133357105552893;0.3843224218957138;0.2790479894419462;0.0242431377556851;0.2115271863945023;WT;1.0156527424390756;-0.3535872819795637;OUI;NON
ENSMUSG00000068699;971.4863081926528;911.0959579869456;2123.157069610903;1853.8616048384647;0.0141288474149519;0.6179940379520605;WT;1.127864989125112;-0.1956676872230469;OUI;NON
ENSMUSG00000070462;3.1071334430173403;5.853573289695218;6.703617951397055;8.635251385036412;0.0048537585965591;0.187339617318806;WT;1.085017747593915;0.3605470913914743;OUI;NON
ENSMUSG00000071041;0.3396107319688288;0.5588009915864585;0.8136735785789113;0.5834572529695395;0.0063081226005774;0.2552309852971624;WT;1.0554522298970486;-0.4188277294375614;OUI;NON
ENSMUSG00000071661;0.5422165696168528;0.6202458561220161;1.1865038613264596;0.7133021884710691;0.0048357063598435;0.0174542487242459;WT;1.0023239940454625;-0.6615923861134997;OUI;NON
ENSMUSG00000072825;8.288194348888043;17.102412322951793;18.31426278373597;22.02252436710281;0.0041417060526145;0.3260577994207005;WT;1.1343914467800076;0.264692378670066;OUI;NON
ENSMUSG00000072964;2.958489368537262;5.211393919225852;6.290125072178669;8.513371819698715;0.0003064828471887;0.0098469066032338;WT;1.063024907722032;0.4307339415527896;OUI;NON
ENSMUSG00000073198;0.116448559691642;0.0931129242874218;0.3693683102093998;0.2853656612181135;0.0414872374417482;0.3954412426175862;WT;1.1166962399054687;-0.2844924172781635;OUI;NON
ENSMUSG00000073375;70.66770136758636;80.62239648663015;148.30104319596472;74.60812924463215;0.029291018666836;0.0388755382132743;WT;1.0683382690742995;-0.9901640923208492;OUI;NON
ENSMUSG00000073489;4.097245486740493;9.057766139700329;9.20081211788851;8.203787819975842;0.0438357734807395;0.6187264479296636;WT;1.147913847913055;-0.163587113210844;OUI;NON
ENSMUSG00000073792;5.433834781326542;6.386940653249971;12.432066913616314;11.652841628646089;0.0083511129410538;0.6008302408849368;WT;1.1792729014869374;-0.0926147609184126;OUI;NON
ENSMUSG00000074129;3.4355060209126504;5.539374720758294;7.27731338356082;6.014398988319961;0.0191423543851038;0.3039506798221588;WT;1.0611788055218732;-0.2708848249604859;OUI;NON
ENSMUSG00000074170;7.689575792463751;14.088504318860997;15.672495296501976;16.51885423691849;0.029573470047955;0.7869002002795439;WT;1.0177942518360446;0.0754100004289399;OUI;NON
ENSMUSG00000074457;29.160283798816003;33.80196118258179;66.43241388164425;53.0428400006019;0.0035705694766527;0.0749299506371061;WT;1.1851136150960095;-0.3241820487095018;OUI;NON
ENSMUSG00000074973;0.1290431111069948;0.1800231321129639;0.3679697027731716;0.3275258859001543;0.0377085231549743;0.7139312895481943;WT;1.030795958277819;-0.1304033549238958;OUI;NON
ENSMUSG00000075012;0.6904625355826124;1.2572572797914543;1.96017818479608;1.357548891996436;0.0272549626068969;0.1640631790121311;WT;1.3820001295163131;-0.4992248435118105;OUI;NON
ENSMUSG00000075227;2.909585226386147;2.5857401949098886;6.068629582374917;5.122568515858181;0.0205968153305063;0.3128427943818294;WT;1.035385345027053;-0.2401905026351577;OUI;NON
ENSMUSG00000075410;0.1429146450884644;0.2992979776232262;0.5028954129648582;0.3840029715930749;0.0059215627094378;0.4220723982706309;WT;1.311458281617367;-0.3168918477759453;OUI;NON
ENSMUSG00000075706;26.296729130920347;30.20489646945508;54.59822047062261;43.91721702854903;0.0019379648512636;0.0682635223485215;WT;1.0511347241721465;-0.3134259634558362;OUI;NON
ENSMUSG00000076433;0.0999652214097921;0.6806687094664423;0.3610339564526391;0.4006628635111567;0.0112861115205388;0.7077399718812332;WT;1.205123909444484;0.1189664348703555;OUI;NON
ENSMUSG00000078317;3.77001309751036;4.064363782144302;7.877061010415277;6.877900334046675;0.0007763171151867;0.1817189858994443;WT;1.0435188630510055;-0.1930643204841352;OUI;NON
ENSMUSG00000078435;0.1818320333216918;0.4674769913640257;0.5161792586579595;0.3429727337164779;0.0101174157762812;0.1788393703827781;WT;1.128514521143393;-0.4761322209665003;OUI;NON
ENSMUSG00000078572;5.671732906132878;5.13040621034956;12.578780402931647;9.98228345725504;0.0003749995898762;0.0352445145423417;WT;1.1353395324081166;-0.3305935559281625;OUI;NON
ENSMUSG00000079022;9.319032623940686;61.999526185945285;20.172005668516555;26.54067029523891;0.0479469102445331;0.4690452923648603;WT;1.1058380315660776;0.3941415489361787;OUI;NON
ENSMUSG00000079037;95.52047239056404;117.3947991344;196.38152098999117;169.01588703211667;0.0019523736083851;0.1273056557808951;WT;1.0390021958480815;-0.2163814386376075;OUI;NON
ENSMUSG00000079049;1.3027575689644144;2.361958381924811;3.233488163947306;3.2157253592413104;0.0135397137172599;0.9704806127615012;WT;1.2487669073305867;-0.0077080909292039;OUI;NON
ENSMUSG00000079442;19.442278527821657;20.987516928478268;44.521618087023896;34.24114748335279;0.0163566288965358;0.1873422884282871;WT;1.1911441422814932;-0.3778045834130421;OUI;NON
ENSMUSG00000079523;1.5583614689842986;4.958998159394517;3.83827113655246;4.596711371245544;0.0453137339516827;0.5496186336199218;WT;1.2478039374865046;0.2540884985458138;OUI;NON
ENSMUSG00000080824;0.0856148205076803;0.1521261273745681;0.4061364142368102;0.332158367895792;0.0473186616539405;0.581888817571801;WT;1.4472143657272614;-0.2279661770571097;OUI;NON
